Country, Deathcount
France, 710
United States, 684
Austria, 205
United Kingdom, 915
Russia, 72
Belgium, 126
Italy, 147
Germany, 216
Denmark, 112
Netherlands, 87
Spain, 116
Australia, 185
Canada, 88
Norway, 54
Chile, 66
Sweden, 84
Switzerland, 65
Brazil, 38
Scotland, 63
Ireland, 63
Romania, 28
Peru, 38
Argentina, 65
Venezuela, 22
Portugal, 34
New Zealand, 52
Czech Republic, 23
Poland, 47
Mexico, 70
Japan, 59
China, 26
Greece, 18
India, 32
Thailand, 34
Colombia, 17
Hungary, 18
Uruguay, 15
Ecuador, 14
Cuba, 13
Haiti, 15
Finland, 17
Philippines, 13
Egypt, 16
Malta, 16
South Africa, 15
Vietnam, 16
Bolivia, 12
Guatemala, 11
Bulgaria, 12
Sri Lanka, 11
Liberia, 10
Lithuania, 10
